,text,onset,offset
0,,0.0,3.1
1,bonjour,3.1,3.59
2,,3.59,4.2
3,dit,4.2,4.3
4,,4.3,4.39
5,le,4.39,4.41
6,,4.41,4.47
7,petit,4.47,4.73
8,prince,4.73,5.23
9,,5.23,5.95
10,bonjour,5.95,6.32
11,,6.32,6.81
12,dit,6.81,7.06
13,le,7.06,7.18
14,marchand,7.18,7.63
15,,7.63,8.58
16,c',8.58,8.64
17,était,8.64,8.91
18,un,8.91,9.02
19,marchand,9.02,9.47
20,de,9.47,9.64
21,pilules,9.64,10.11
22,perfectionnées,10.11,11.0
23,,11.0,11.25
24,qui,11.25,11.4
25,apaisent,11.4,11.92
26,la,11.92,12.05
27,soif,12.05,12.59
28,,12.59,13.26
29,on,13.26,13.38
30,en,13.38,13.53
31,avale,13.53,13.89
32,,13.89,13.99
33,une,13.99,14.24
34,par,14.24,14.41
35,semaine,14.41,14.95
36,,14.95,15.09
37,et,15.09,15.17
38,l',15.17,15.22
39,on,15.22,15.33
40,n',15.33,15.38
41,éprouve,15.38,15.79
42,,15.79,15.87
43,plus,15.87,16.09
44,le,16.09,16.23
45,besoin,16.23,16.58
46,de,16.58,16.7
47,boire,16.7,17.19
48,,17.19,18.09
49,pourquoi,18.09,18.43
50,vends,18.43,18.54
51,-tu,18.54,18.75
52,ça,18.75,19.02
53,,19.02,19.42
54,dit,19.42,19.63
55,le,19.63,19.68
56,petit,19.68,19.99
57,prince,19.99,20.51
58,,20.51,21.16
59,c',21.16,21.22
60,est,21.22,21.35
61,une,21.35,21.48
62,grosse,21.48,21.78
63,économie,21.78,22.24
64,de,22.24,22.38
65,temps,22.38,22.67
66,,22.67,23.02
67,dit,23.02,23.23
68,le,23.23,23.31
69,marchand,23.31,23.76
70,,23.76,24.24
71,les,24.24,24.39
72,experts,24.39,24.91
73,ont,24.91,25.02
74,fait,25.02,25.16
75,des,25.16,25.26
76,calculs,25.26,25.86
77,,25.86,26.42
78,on,26.42,26.63
79,épargne,26.63,27.15
80,cinquante,27.15,27.69
81,-trois,27.69,27.9
