,text,onset,offset
0,,0.0,3.08
1,la,3.08,3.14
2,,3.14,3.31
3,quatrième,3.31,3.8
4,,3.8,3.91
5,planète,3.91,4.45
6,,4.45,4.51
7,était,4.51,4.82
8,,4.82,4.88
9,celle,4.88,5.27
10,du,5.27,5.44
11,businessman,5.44,6.44
12,,6.44,7.15
13,cet,7.15,7.391940792762312
14,,7.391940792762312,7.423484225303869
15,homme,7.423484225303869,7.61
16,était,7.61,7.84
17,si,7.84,8.14
18,occupé,8.14,8.78
19,,8.78,8.87
20,qu',8.87,8.95
21,il,8.95,9.04
22,ne,9.04,9.17
23,leva,9.17,9.5
24,même,9.5,9.89
25,pas,9.89,10.07
26,la,10.07,10.21
27,tête,10.21,10.59
28,,10.59,10.66
29,à,10.66,10.76
30,l',10.76,10.81
31,arrivée,10.81,11.15
32,du,11.15,11.27
33,petit,11.27,11.56
34,prince,11.56,12.19
35,,12.19,12.98
36,bonjour,12.98,13.5
37,,13.5,13.79
38,lui,13.79,13.99
39,dit,13.99,14.16
40,,14.16,14.2
41,celui,14.2,14.46
42,-ci,14.46,14.77
43,,14.77,15.39
44,votre,15.39,15.6
45,cigarette,15.6,16.15
46,est,16.15,16.27
47,éteinte,16.27,16.82
48,,16.82,17.99
49,trois,17.99,18.16
50,,18.16,18.42
51,et,18.42,18.51
52,deux,18.51,18.59
53,,18.59,18.74
54,font,18.74,18.95
55,cinq,18.95,19.61
56,,19.61,19.8
57,cinq,19.8,20.22
58,et,20.22,20.32
59,sept,20.32,20.7
60,douze,20.7,21.39
61,,21.39,21.73
62,douze,21.73,22.03
63,et,22.03,22.15
64,trois,22.15,22.61
65,,22.61,22.67
66,quinze,22.67,23.45
67,,23.45,23.88
68,bonjour,23.88,24.68
69,,24.68,25.15
70,quinze,25.15,25.51
71,et,25.51,25.6
72,sept,25.6,26.01
73,vingt,26.01,26.32
74,-deux,26.32,26.68
75,,26.68,27.12
76,vingt,27.12,27.4
77,-deux,27.4,27.63
78,,27.63,27.68
79,et,27.68,27.76
80,six,27.76,28.25
81,vingt,28.25,28.58
82,-huit,28.58,28.99
83,,28.99,29.22
84,pas,29.22,29.44
85,le,29.44,29.66
86,temps,29.66,29.88
87,de,29.88,29.99
88,la,29.99,30.17
89,rallumer,30.17,30.76
90,,30.76,31.18
91,vingt,31.18,31.38
92,-six,31.38,31.81
93,,31.81,31.87
94,et,31.87,31.97
95,cinq,31.97,32.47
96,trente,32.47,32.85
97,et,32.85,32.98
98,un,32.98,33.13
99,,33.13,33.6
100,ouf,33.6,33.97
101,,33.97,34.43
102,ça,34.43,34.65
103,fait,34.65,34.82
104,donc,34.82,35.19
105,cinq,35.19,35.48
106,cent,35.48,35.78
107,un,35.78,35.94
108,millions,35.94,36.46
109,six,36.46,36.86
110,cent,36.86,36.98
111,vingt,36.98,37.31
112,-deux,37.31,37.46
113,mille,37.46,37.82
114,sept,37.82,38.16
115,cent,38.16,38.4
116,trente,38.4,38.74
117,et,38.74,38.88
118,un,38.88,39.04
119,,39.04,40.09
120,cinq,40.09,40.33
121,cents,40.33,40.5
122,,40.5,40.55
123,millions,40.55,40.85
124,de,40.85,41.01
125,quoi,41.01,41.31
126,,41.31,42.37
127,hein,42.37,42.75
128,,42.75,42.95
129,tu,42.95,43.07
130,es,43.07,43.19
131,,43.19,43.25
132,toujours,43.25,43.51
133,là,43.51,43.74
134,,43.74,44.35
135,cinq,44.35,44.61
136,cent,44.61,44.84
137,un,44.84,44.93
138,millions,44.93,45.27
139,de,45.27,45.74
140,,45.74,46.3
141,je,46.3,46.45
142,ne,46.45,46.53
143,sais,46.53,46.74
144,plus,46.74,47.06
145,,47.06,47.41
146,j',47.41,47.52
147,ai,47.52,47.64
148,tellement,47.64,48.07
149,de,48.07,48.17
150,travail,48.17,48.81
151,,48.81,49.33
152,je,49.33,49.44
153,suis,49.44,49.68
154,sérieux,49.68,50.17
155,moi,50.17,50.38
156,,50.38,50.76
157,je,50.76,50.91
158,ne,50.91,51.0
159,m',51.0,51.06
160,amuse,51.06,51.42
161,pas,51.42,51.7
162,à,51.7,51.72
163,des,51.72,51.86
164,balivernes,51.86,52.6
165,,52.6,53.45
166,deux,53.45,53.74
167,et,53.74,53.91
168,cinq,53.91,54.38
169,sept,54.38,54.97
170,,54.97,56.2
171,cinq,56.2,56.5
172,cent,56.5,56.59
173,un,56.59,56.76
174,millions,56.76,57.15
175,de,57.15,57.27
176,quoi,57.27,57.63
177,,57.63,58.02
178,répéta,58.02,58.46
179,le,58.46,58.58
180,petit,58.58,58.86
181,prince,58.86,59.36
182,qui,59.36,59.61
183,jamais,59.61,60.2
184,de,60.2,60.34
185,sa,60.34,60.6
186,vie,60.6,60.85
187,n',60.85,60.98
188,avait,60.98,61.16
189,renoncé,61.16,61.75
190,à,61.75,61.78
191,une,61.78,61.93
192,question,61.93,62.49
193,,62.49,62.76
194,une,62.76,62.92
195,fois,62.92,63.16
196,qu',63.16,63.27
197,il,63.27,63.47
198,l',63.47,63.49
199,avait,63.49,63.71
200,posée,63.71,64.15
201,,64.15,64.98
202,,64.98,65.15584763837953
203,le,65.15584763837953,65.34635706100686
204,businessman,65.34635706100686,66.0
205,leva,66.0,66.3
206,la,66.3,66.43
207,tête,66.43,66.9
208,,66.9,67.83
209,depuis,67.83,68.21
210,,68.21,68.3
211,cinquante,68.3,68.66
212,-quatre,68.66,68.94
213,ans,68.94,69.04
214,que,69.04,69.18
215,j',69.18,69.26
216,habite,69.26,69.55
217,cette,69.55,69.71
218,,69.71,69.76
219,planète,69.76,70.1
220,-ci,70.1,70.42
221,,70.42,70.62
222,je,70.62,70.77
223,n',70.77,70.82
224,ai,70.82,71.0
225,été,71.0,71.14
226,dérangé,71.14,71.71
227,que,71.71,71.85
228,trois,71.85,72.24
229,fois,72.24,72.6
230,,72.6,73.38
231,la,73.38,73.52
