,text,onset,offset
0,,0.0,3.12
1,mais,3.12,3.24
2,,3.24,3.3
3,il,3.3,3.38
4,,3.38,3.44
5,arriva,3.44,3.85
6,,3.85,3.91
7,que,3.91,3.93
8,,3.93,4.11
9,le,4.11,4.17
10,petit,4.17,4.51
11,prince,4.51,5.1
12,,5.1,5.26
13,ayant,5.26,5.63
14,longtemps,5.63,6.27
15,marché,6.27,6.69
16,à,6.69,6.77
17,travers,6.77,7.11
18,les,7.11,7.25
19,sables,7.25,7.79
20,,7.79,8.05
21,les,8.05,8.23
22,rocs,8.23,8.67
23,,8.67,8.8
24,et,8.8,8.89
25,les,8.89,9.01
26,neiges,9.01,9.53
27,,9.53,9.92
28,découvrit,9.92,10.58
29,enfin,10.58,11.13
30,une,11.13,11.4
31,route,11.4,11.94
32,,11.94,12.43
33,Et,12.43,12.5
34,les,12.5,12.63
35,routes,12.63,13.15
36,vont,13.15,13.38
37,,13.38,13.54
38,toutes,13.54,13.95
39,,13.95,14.02
40,chez,14.02,14.22
41,les,14.22,14.47
42,hommes,14.47,14.76
43,,14.76,15.81
44,«Bonjour»,15.81,16.39
45,,16.39,16.62
46,dit,16.62,16.88
47,-il,16.88,17.27
48,,17.27,17.78
49,C',17.78,17.93
50,était,17.93,18.17
51,un,18.17,18.3
52,jardin,18.3,18.86
53,fleuri,18.86,19.46
54,de,19.46,19.61
55,roses,19.61,20.11
56,,20.11,21.04
57,«Bonjour»,21.04,22.07
58,,22.07,22.26
59,dirent,22.26,22.47
60,les,22.47,22.6
61,roses,22.6,23.11
62,,23.11,23.88
63,Le,23.88,24.07
64,petit,24.07,24.43
65,prince,24.43,24.91
66,les,24.91,25.07
67,regarda,25.07,25.64
68,,25.64,26.23
69,Elles,26.23,26.36
70,ressemblaient,26.36,27.01
71,,27.01,27.15
72,toutes,27.15,27.5
73,,27.5,27.56
74,à,27.56,27.68
75,sa,27.68,27.87
76,fleur,27.87,28.41
77,,28.41,29.41
78,«Qui,29.41,29.73
79,êtes,29.73,29.85
80,-vous,29.85,30.17
81,,30.17,30.57
82,leur,30.57,30.81
83,demanda,30.81,31.19
84,-t,31.19,31.43
85,-il,31.43,31.62
86,,31.62,31.79
87,stupéfait,31.79,32.59
88,,32.59,33.32
89,Nous,33.32,33.52
90,sommes,33.52,33.8
91,des,33.8,33.99
92,roses,33.99,34.68
93,,34.68,35.26
94,dirent,35.26,35.5
95,les,35.5,35.63
96,roses,35.63,36.1
97,,36.1,37.04
98,Ah,37.04,37.17
99,,37.17,37.87
100,fit,37.87,38.07
101,le,38.07,38.17
102,petit,38.17,38.47
103,prince,38.47,39.07
104,,39.07,39.81
105,Et,39.81,39.93
106,il,39.93,40.0
107,se,40.0,40.36
108,sentit,40.36,40.82
109,très,40.82,41.27
110,malheureux,41.27,41.87
111,,41.87,42.55
112,Sa,42.55,42.81
113,fleur,42.81,43.16
114,lui,43.16,43.36
115,avait,43.36,43.56
116,raconté,43.56,44.08
117,qu',44.08,44.18
118,elle,44.18,44.27
119,était,44.27,44.52
120,seule,44.52,44.93
121,de,44.93,44.99
122,son,44.99,45.26
123,espèce,45.26,45.68
124,dans,45.68,45.83
125,l',45.83,45.87
126,univers,45.87,46.49
127,,46.49,47.03
128,Et,47.03,47.17
129,voici,47.17,47.71
130,qu',47.71,47.81
131,il,47.81,47.92
132,en,47.92,48.08
133,était,48.08,48.38
134,cinq,48.38,48.72
135,mille,48.72,49.14
136,,49.14,49.42
137,toutes,49.42,49.67
138,semblables,49.67,50.38
139,,50.38,50.67
140,dans,50.67,51.08
141,un,51.08,51.25
142,seul,51.25,51.68
143,jardin,51.68,52.21
144,,52.21,53.38
145,«Elle,53.38,53.71
146,serait,53.71,53.89
147,bien,53.89,54.13
148,vexée,54.13,54.64
149,,54.64,54.82
150,se,54.82,55.01
151,dit,55.01,55.27
152,-il,55.27,55.54
153,,55.54,56.03
154,si,56.03,56.24
155,elle,56.24,56.4
156,voyait,56.4,56.7
157,ça,56.7,56.99
