,text,onset,offset
0,,0.0,3.07
1,il,3.07,3.19
2,,3.19,3.27
3,se,3.27,3.29
4,,3.29,3.47
5,trouvait,3.47,3.72
6,,3.72,3.78
7,dans,3.78,3.87
8,la,3.87,3.94
9,,3.94,4.0
10,région,4.0,4.47
11,des,4.47,4.7
12,astéroïdes,4.7,5.42
13,325,5.42,6.59
14,,6.59,6.69
15,326,6.69,7.89
16,,7.89,8.06
17,327,8.06,9.09
18,,9.09,9.27
19,328,9.27,10.48
20,,10.48,10.62
21,329,10.62,11.71
22,,11.71,11.97
23,et,11.97,12.06
24,330,12.06,13.1
25,,13.1,13.98
26,il,13.98,14.17
27,commença,14.17,14.59
28,donc,14.59,14.91
29,par,14.91,15.08
30,les,15.08,15.23
31,visiter,15.23,15.84
32,pour,15.84,16.1
33,y,16.1,16.14
34,chercher,16.14,16.63
35,une,16.63,16.74
36,occupation,16.74,17.46
37,,17.46,17.7
38,et,17.7,17.79
39,pour,17.79,17.97
40,s',17.97,18.07
41,instruire,18.07,18.74
42,,18.74,19.64
43,le,19.64,19.84
44,premier,19.84,20.32
45,était,20.32,20.66
46,habité,20.66,21.06
47,par,21.06,21.22
48,un,21.22,21.4
49,roi,21.4,21.68
50,,21.68,22.27
51,le,22.27,22.48
52,roi,22.48,22.73
53,siégeait,22.73,23.45
54,,23.45,23.62
55,habillé,23.62,24.08
56,de,24.08,24.25
57,pourpre,24.25,24.63
58,,24.63,24.71
59,et,24.71,24.79
60,d',24.79,24.85
61,hermine,24.85,25.4
62,,25.4,25.64
63,sur,25.64,25.89
64,un,25.89,26.03
65,trône,26.03,26.41
66,très,26.41,26.74
67,simple,26.74,27.33
68,,27.33,27.5
69,et,27.5,27.56
70,cependant,27.56,28.15
71,majestueux,28.15,28.92
72,,28.92,30.06
73,ah,30.06,30.36
74,,30.36,30.53
75,voilà,30.53,30.74
76,,30.74,30.84
77,un,30.84,30.86
78,sujet,30.86,31.3
79,,31.3,31.77
80,s',31.77,31.9
81,écria,31.9,32.27
82,le,32.27,32.39
83,roi,32.39,32.7
84,quand,32.7,32.96
85,il,32.96,33.04
86,aperçut,33.04,33.44
87,le,33.44,33.57
88,petit,33.57,33.85
89,prince,33.85,34.4
90,,34.4,35.14
91,et,35.14,35.2
92,le,35.2,35.33
93,petit,35.33,35.59
94,prince,35.59,36.07
95,se,36.07,36.14
96,demanda,36.14,36.6
97,,36.6,37.23
98,comment,37.23,37.68
99,peut,37.68,37.82
100,-il,37.82,37.96
101,me,37.96,38.04
102,reconnaître,38.04,38.68
103,puisqu',38.68,38.99
104,il,38.99,39.08
105,ne,39.08,39.15
106,m',39.15,39.23
107,a,39.23,39.27
108,encore,39.27,39.65
109,jamais,39.65,40.2
110,vu,40.2,40.38
111,,40.38,41.44
112,il,41.44,41.57
113,ne,41.57,41.64
114,savait,41.64,42.03
115,pas,42.03,42.23
116,que,42.23,42.55
117,,42.55,42.72
118,pour,42.72,42.88
119,les,42.88,43.04
120,rois,43.04,43.32
121,,43.32,43.67
122,le,43.67,43.86
123,monde,43.86,44.22
124,est,44.22,44.38
125,très,44.38,44.71
126,simplifié,44.71,45.49
127,,45.49,45.89
128,tous,45.89,46.05
129,les,46.05,46.32
130,hommes,46.32,46.5
131,sont,46.5,46.73
132,des,46.73,46.85
133,sujets,46.85,47.32
134,,47.32,48.25
135,approche,48.25,48.6
136,-toi,48.6,48.81
137,,48.81,48.86
138,que,48.86,48.89
139,je,48.89,49.04
140,te,49.04,49.11
141,voie,49.11,49.3
142,mieux,49.3,49.63
143,,49.63,49.95
144,lui,49.95,50.17
145,dit,50.17,50.31
146,le,50.31,50.45
147,roi,50.45,50.77
148,,50.77,50.86
149,qui,50.86,51.17
150,était,51.17,51.44
151,tout,51.44,51.82
152,fier,51.82,52.24
153,d',52.24,52.3
154,être,52.3,52.54
155,enfin,52.54,52.97
156,roi,52.97,53.27
157,pour,53.27,53.5
158,quelqu',53.5,53.84
159,un,53.84,53.95
160,,53.95,55.08
161,le,55.08,55.19
162,petit,55.19,55.57
163,prince,55.57,55.74
164,,55.74,55.84
165,chercha,55.84,56.43
166,des,56.43,56.68
167,yeux,56.68,56.87
168,,56.87,56.95
169,où,56.95,57.04
170,s',57.04,57.16
171,asseoir,57.16,57.68
172,,57.68,58.01
173,mais,58.01,58.18
174,la,58.18,58.32
175,planète,58.32,58.82
176,,58.82,58.93
177,était,58.93,59.16
178,tout,59.16,59.48
179,encombrée,59.48,60.01
180,par,60.01,60.19
181,le,60.19,60.3
182,magnifique,60.3,60.99
183,manteau,60.99,61.33
184,d',61.33,61.39
185,hermine,61.39,61.92
186,,61.92,62.9
187,il,62.9,63.04
188,resta,63.04,63.4
189,donc,63.4,63.64
190,debout,63.64,64.08
191,,64.08,64.48
192,et,64.48,64.65
193,,64.65,64.84
194,comme,64.84,65.03
195,il,65.03,65.13
196,était,65.13,65.38
197,fatigué,65.38,65.98
198,,65.98,66.21
199,il,66.21,66.38
200,bâilla,66.38,66.86
201,,66.86,67.94
202,il,67.94,67.99
203,est,67.99,68.19
204,contraire,68.19,68.44
205,à,68.44,68.67
206,,68.67,68.71
207,l',68.71,68.74
208,étiquette,68.74,69.16
209,de,69.16,69.27
210,bâiller,69.27,69.61
211,en,69.61,69.7
212,présence,69.7,70.12
213,d',70.12,70.15
214,un,70.15,70.24
215,roi,70.24,70.59
216,,70.59,70.81
217,lui,70.81,70.98
218,dit,70.98,71.17
219,le,71.17,71.2
220,monarque,71.2,71.74
221,,71.74,72.15
222,je,72.15,72.32
223,te,72.32,72.38
224,l',72.38,72.46
225,interdis,72.46,73.04
226,,73.04,74.16
227,je,74.16,74.29
228,ne,74.29,74.43
229,peux,74.43,74.53
230,pas,74.53,74.67
231,m',74.67,74.72
232,en,74.72,74.79
233,,74.79,74.83
234,empêcher,74.83,75.37
235,,75.37,75.66
236,répondit,75.66,76.07
237,le,76.07,76.21
238,petit,76.21,76.48
239,prince,76.48,76.83
240,tout,76.83,76.97
241,confus,76.97,77.42
242,,77.42,78.03
243,j',78.03,78.16
244,ai,78.16,78.19
245,fait,78.19,78.35
246,un,78.35,78.49
247,long,78.49,78.61
248,voyage,78.61,79.16
249,,79.16,79.25
250,et,79.25,79.28
251,je,79.28,79.41
252,n',79.41,79.5
253,ai,79.5,79.59
254,pas,79.59,79.72
255,dormi,79.72,80.14
256,,80.14,80.99
257,alors,80.99,81.2
258,,81.2,81.71
259,lui,81.71,81.94
260,dit,81.94,82.07
261,le,82.07,82.18
262,roi,82.18,82.43
263,,82.43,82.85
264,je,82.85,82.98
265,t',82.98,83.03
266,ordonne,83.03,83.46
267,de,83.46,83.52
268,bâiller,83.52,83.9
269,,83.9,84.44
270,je,84.44,84.59
271,n',84.59,84.63
272,ai,84.63,84.84
273,vu,84.84,84.98
274,personne,84.98,85.68
275,bailler,85.68,86.01
276,depuis,86.01,86.3
277,des,86.3,86.68
278,années,86.68,86.98
279,,86.98,87.23
280,les,87.23,87.35
281,bâillements,87.35,87.77
282,sont,87.77,87.96
283,pour,87.96,88.12
284,moi,88.12,88.27
285,des,88.27,88.36
286,curiosités,88.36,89.13
287,,89.13,89.64
288,allons,89.64,90.0
289,,90.0,90.16
290,bâille,90.16,90.36
291,encore,90.36,90.88
292,,90.88,91.05
293,c',91.05,91.15
294,est,91.15,91.26
295,un,91.26,91.47
296,ordre,91.47,91.76
297,,91.76,92.95
298,ça,92.95,93.15
299,,93.15,93.2
300,m',93.2,93.24
301,intimide,93.24,93.89
302,,93.89,94.26
303,je,94.26,94.42
304,ne,94.42,94.53
305,peux,94.53,94.69
306,plus,94.69,95.0
307,,95.0,95.59
308,fit,95.59,95.83
309,le,95.83,95.86
310,petit,95.86,96.16
311,prince,96.16,96.54
312,tout,96.54,96.73
313,rougissant,96.73,97.37
314,,97.37,98.18
315,hum,98.18,98.49
316,,98.49,98.62
317,hum,98.62,98.86
318,,98.86,99.45
319,répondit,99.45,99.86
320,,99.86,99.91
321,le,99.91,100.02
322,roi,100.02,100.35
323,,100.35,101.04
324,alors,101.04,101.67
325,je,101.67,102.01
326,,102.01,102.37
327,je,102.37,102.53
328,t',102.53,102.58
329,ordonne,102.58,103.08
330,,103.08,103.12
331,tantôt,103.12,103.41
332,de,103.41,103.53
333,bâiller,103.53,104.31
334,et,104.31,104.33
335,tantôt,104.33,104.69
336,de,104.69,105.25
337,,105.25,105.91
338,il,105.91,106.05
339,bredouillait,106.05,106.63
340,un,106.63,106.78
341,,106.78,106.82
342,peu,106.82,106.98
343,,106.98,107.27
344,et,107.27,107.38
345,paraissait,107.38,107.91
346,vexé,107.91,108.45
347,,108.45,109.35
348,car,109.35,109.57
349,le,109.57,109.69
350,roi,109.69,109.96
351,tenait,109.96,110.32
352,essentiellement,110.32,111.08
353,,111.08,111.22
354,à,111.22,111.34
355,ce,111.34,111.49
356,que,111.49,111.61
357,son,111.61,111.87
358,autorité,111.87,112.41
359,fût,112.41,112.63
360,respectée,112.63,113.52
361,,113.52,114.12
362,il,114.12,114.34
363,ne,114.34,114.54
364,,114.54,114.64
365,tolérait,114.64,115.16
366,pas,115.16,115.38
367,la,115.38,115.55
368,désobéissance,115.55,116.71
369,,116.71,117.28
370,c',117.28,117.38
371,était,117.38,117.64
372,un,117.64,117.75
373,monarque,117.75,118.2
374,,118.2,118.3
375,absolu,118.3,118.91
376,,118.91,119.72
377,mais,119.72,119.96
378,comme,119.96,120.19
379,il,120.19,120.32
380,était,120.32,120.54
381,très,120.54,120.82
382,bon,120.82,121.05
383,,121.05,121.33
384,il,121.33,121.52
385,donnait,121.52,121.76
386,des,121.76,121.98
387,ordres,121.98,122.36
388,raisonnables,122.36,123.02
389,,123.02,124.52
390,si,124.52,124.76
391,j',124.76,124.79
392,ordonnais,124.79,125.31
393,,125.31,125.6
394,disait,125.6,126.04
395,-il,126.04,126.24
396,couramment,126.24,126.83
397,,126.83,127.32
398,si,127.32,127.47
399,j',127.47,127.56
400,ordonnais,127.56,127.95
401,à,127.95,128.07
402,un,128.07,128.1
403,général,128.1,128.66
404,de,128.66,128.76
405,se,128.76,128.91
406,changer,128.91,129.34
407,en,129.34,129.48
408,oiseau,129.48,129.72
409,de,129.72,129.84
410,mer,129.84,130.21
411,,130.21,130.4
412,et,130.4,130.48
413,si,130.48,130.67
414,le,130.67,130.73
415,général,130.73,131.26
416,n',131.26,131.32
417,obéissait,131.32,131.9
418,pas,131.9,132.08
419,,132.08,132.51
420,ce,132.51,132.66
421,ne,132.66,132.79
422,serait,132.79,133.04
423,pas,133.04,133.16
424,la,133.16,133.25
425,faute,133.25,133.43
426,du,133.43,133.54
427,général,133.54,134.06
428,,134.06,134.49
429,ce,134.49,134.65
430,serait,134.65,134.91
431,ma,134.91,135.14
432,faute,135.14,135.56
433,,135.56,136.73
434,puis,136.73,137.0
435,-je,137.0,137.03
436,m',137.03,137.09
437,asseoir,137.09,137.67
438,,137.67,137.97
439,s',137.97,138.12
440,enquit,138.12,138.47
441,timidement,138.47,138.99
442,le,138.99,139.12
443,petit,139.12,139.38
444,prince,139.38,139.95
445,,139.95,140.6
446,je,140.6,140.7
447,,140.7,140.77
448,t',140.77,140.8
449,ordonne,140.8,141.27
450,de,141.27,141.32
451,t',141.32,141.39
452,asseoir,141.39,141.98
453,,141.98,142.3
454,lui,142.3,142.46
455,répondit,142.46,142.94
456,le,142.94,143.06
457,roi,143.06,143.31
458,,143.31,143.66
459,qui,143.66,143.82
460,ramena,143.82,144.32
461,majestueusement,144.32,145.46
462,un,145.46,145.66
463,,145.66,145.72
464,pan,145.72,145.89
465,de,145.89,145.99
466,son,145.99,146.2
467,manteau,146.2,146.5
468,d',146.5,146.56
469,hermine,146.56,147.06
470,,147.06,147.98
471,mais,147.98,148.26
472,le,148.26,148.29
473,petit,148.29,148.59
474,prince,148.59,149.11
475,s',149.11,149.13
476,étonnait,149.13,149.58
477,,149.58,150.36
478,la,150.36,150.53
479,planète,150.53,150.91
480,était,150.91,151.12
481,minuscule,151.12,151.91
482,,151.91,152.48
483,sur,152.48,152.85
484,quoi,152.85,153.17
485,le,153.17,153.35
486,roi,153.35,153.65
487,pouvait,153.65,154.07
488,-il,154.07,154.29
489,bien,154.29,154.45
490,régner,154.45,155.0
491,,155.0,155.78
492,sire,155.78,156.35
493,,156.35,156.55
494,lui,156.55,156.77
495,dit,156.77,157.0
496,-il,157.0,157.34
497,,157.34,157.86
498,je,157.86,158.0
499,vous,158.0,158.17
500,demande,158.17,158.42
501,pardon,158.42,158.8
502,de,158.8,158.89
503,vous,158.89,159.08
504,interroger,159.08,159.73
505,,159.73,160.29
506,je,160.29,160.44
507,t',160.44,160.49
508,ordonne,160.49,161.04
509,de,161.04,161.12
510,m',161.12,161.19
511,interroger,161.19,161.82
512,,161.82,162.13
513,se,162.13,162.31
514,hâta,162.31,162.69
515,de,162.69,162.8
516,dire,162.8,163.03
517,le,163.03,163.14
518,roi,163.14,163.45
519,,163.45,164.22
520,sire,164.22,164.8
521,,164.8,165.06
522,sur,165.06,165.27
523,quoi,165.27,165.48
524,régnez,165.48,165.81
525,-vous,165.81,166.1
526,,166.1,166.96
527,sur,166.96,167.28
528,,167.28,167.35
529,tout,167.35,167.68
530,,167.68,168.14
531,répondit,168.14,168.68
532,le,168.68,168.74
533,roi,168.74,169.04
534,,169.04,169.3
535,avec,169.3,169.6
536,une,169.6,169.78
537,grande,169.78,170.18
538,simplicité,170.18,171.09
539,,171.09,171.86
540,sur,171.86,172.27
541,,172.27,172.31
542,tout,172.31,172.57
543,,172.57,173.68
544,le,173.68,173.73
545,,173.73,173.86
546,roi,173.86,174.16
547,d',174.16,174.19
548,un,174.19,174.34
549,geste,174.34,174.76
550,discret,174.76,175.27
551,désigna,175.27,175.84
552,sa,175.84,176.04
553,planète,176.04,176.61
554,,176.61,176.7
555,les,176.7,177.01
556,autres,177.01,177.26
557,planètes,177.26,177.85
558,,177.85,178.13
559,et,178.13,178.2
560,les,178.2,178.43
561,étoiles,178.43,178.94
562,,178.94,179.86
563,sur,179.86,180.13
564,tout,180.13,180.31
565,ça,180.31,180.52
566,,180.52,180.96
567,dit,180.96,181.1
568,le,181.1,181.25
569,petit,181.25,181.52
570,prince,181.52,182.06
571,,182.06,182.59
572,sur,182.59,182.85
573,tout,182.85,183.1
574,ça,183.1,183.42
575,,183.42,183.74
576,répondit,183.74,184.21
577,le,184.21,184.34
578,roi,184.34,184.64
579,,184.64,185.75
580,car,185.75,186.03
581,non,186.03,186.21
582,,186.21,186.29
583,seulement,186.29,186.58
584,c',186.58,186.69
585,était,186.69,186.95
586,un,186.95,187.06
587,monarque,187.06,187.53
588,,187.53,187.62
589,absolu,187.62,188.18
590,,188.18,188.41
591,mais,188.41,188.57
592,c',188.57,188.67
593,était,188.67,188.94
594,un,188.94,189.0
595,monarque,189.0,189.51
596,,189.51,189.64
597,universel,189.64,190.78
598,,190.78,191.84
599,et,191.84,191.87
600,,191.87,191.92
601,les,191.92,192.16
602,étoiles,192.16,192.48
603,vous,192.48,192.66
604,obéissent,192.66,193.23
605,,193.23,193.91
606,bien,193.91,194.14
607,sûr,194.14,194.56
608,,194.56,194.91
609,lui,194.91,195.12
610,dit,195.12,195.25
611,le,195.25,195.37
612,roi,195.37,195.65
613,,195.65,196.14
614,elles,196.14,196.44
615,obéissent,196.44,196.84
616,aussitôt,196.84,197.34
617,,197.34,197.58
618,je,197.58,197.73
619,ne,197.73,197.91
620,,197.91,197.95
621,tolère,197.95,198.31
622,pas,198.31,198.44
623,l',198.44,198.48
624,indiscipline,198.48,199.28
625,,199.28,200.49
626,un,200.49,200.78
627,,200.78,200.84
628,tel,200.84,201.14
629,pouvoir,201.14,201.64
630,,201.64,201.87
631,émerveilla,201.87,202.62
632,le,202.62,202.74
633,petit,202.74,203.02
634,prince,203.02,203.59
635,,203.59,204.0
636,s',204.0,204.15
637,il,204.15,204.38
638,l',204.38,204.4
639,,204.4,204.46
640,avait,204.46,204.67
641,détenu,204.67,205.19
642,lui,205.19,205.37
643,-même,205.37,205.73
644,,205.73,206.1
645,il,206.1,206.28
646,aurait,206.28,206.56
647,pu,206.56,206.65
648,assister,206.65,207.36
649,,207.36,207.66
650,non,207.66,207.89
651,pas,207.89,208.14
652,à,208.14,208.22
653,quarante,208.22,208.58
654,-quatre,208.58,208.98
655,,208.98,209.4
656,mais,209.4,209.63
657,à,209.63,209.71
658,soixante,209.71,210.17
659,-douze,210.17,210.62
660,,210.62,210.72
661,ou,210.72,210.86
662,même,210.86,211.09
663,à,211.09,211.2
664,cent,211.2,211.59
665,,211.59,211.97
666,ou,211.97,212.1
667,même,212.1,212.31
668,à,212.31,212.42
669,deux,212.42,212.73
670,cents,212.73,213.05
671,couchers,213.05,213.38
672,de,213.38,213.5
673,soleil,213.5,213.91
674,dans,213.91,214.03
675,la,214.03,214.16
676,même,214.16,214.5
677,journée,214.5,214.97
678,,214.97,215.35
679,sans,215.35,215.76
680,avoir,215.76,216.13
681,jamais,216.13,216.79
682,à,216.79,216.87
683,tirer,216.87,217.19
684,sa,217.19,217.36
685,chaise,217.36,217.88
686,,217.88,219.18
687,et,219.18,219.24
688,comme,219.24,219.5
689,il,219.5,219.57
690,se,219.57,219.85
691,sentait,219.85,220.16
692,un,220.16,220.27
693,peu,220.27,220.39
694,triste,220.39,220.88
695,à,220.88,221.08
696,cause,221.08,221.34
697,du,221.34,221.46
698,souvenir,221.46,221.97
699,de,221.97,222.08
700,sa,222.08,222.26
701,petite,222.26,222.61
702,planète,222.61,223.14
703,abandonnée,223.14,223.8
704,,223.8,224.15
705,il,224.15,224.31
706,s',224.31,224.47
707,enhardit,224.47,225.0
708,à,225.0,225.08
709,solliciter,225.08,225.88
710,une,225.88,226.06
711,grâce,226.06,226.55
712,du,226.55,226.69
713,roi,226.69,226.96
714,,226.96,228.08
715,je,228.08,228.25
716,voudrais,228.25,228.59
717,voir,228.59,228.76
718,un,228.76,228.83
719,coucher,228.83,229.13
720,de,229.13,229.22
721,soleil,229.22,229.8
722,,229.8,230.23
723,faites,230.23,230.4
724,-moi,230.4,230.54
725,plaisir,230.54,231.16
726,,231.16,231.51
727,ordonnez,231.51,231.95
728,au,231.95,231.98
729,soleil,231.98,232.33
730,de,232.33,232.43
731,se,232.43,232.59
732,coucher,232.59,233.13
733,,233.13,234.08
734,si,234.08,234.22
735,j',234.22,234.25
736,ordonnais,234.25,234.78
737,à,234.78,234.83
738,un,234.83,234.93
739,général,234.93,235.52
740,de,235.52,235.64
741,voler,235.64,235.91
742,d',235.91,235.96
743,une,235.96,236.1
744,fleur,236.1,236.52
745,à,236.52,236.57
746,l',236.57,236.63
747,autre,236.63,236.87
748,à,236.87,236.9
749,la,236.9,237.02
750,façon,237.02,237.35
751,d',237.35,237.42
752,un,237.42,237.54
753,papillon,237.54,238.07
754,,238.07,238.41
755,ou,238.41,238.52
756,d',238.52,238.58
757,écrire,238.58,238.97
758,une,238.97,239.12
759,tragédie,239.12,239.76
760,,239.76,240.02
761,ou,240.02,240.12
762,de,240.12,240.23
763,se,240.23,240.4
764,changer,240.4,240.8
765,en,240.8,240.96
766,oiseau,240.96,241.21
767,de,241.21,241.33
768,mer,241.33,241.71
769,,241.71,242.01
770,et,242.01,242.07
771,si,242.07,242.28
772,le,242.28,242.36
773,général,242.36,242.9
774,n',242.9,242.95
775,exécutait,242.95,243.44
776,pas,243.44,243.63
777,l',243.63,243.71
778,ordre,243.71,244.03
779,reçu,244.03,244.41
780,,244.41,244.82
781,qui,244.82,245.13
782,,245.13,245.29
783,de,245.29,245.44
784,lui,245.44,245.79
785,ou,245.79,245.91
786,de,245.91,246.05
787,moi,246.05,246.37
788,,246.37,246.5
789,serait,246.5,246.83
790,dans,246.83,246.94
791,son,246.94,247.15
792,tort,247.15,247.59
793,,247.59,248.24
794,ce,248.24,248.53
795,serait,248.53,248.74
796,vous,248.74,248.98
797,,248.98,249.32
798,dit,249.32,249.49
799,fermement,249.49,249.94
800,le,249.94,250.05
801,petit,250.05,250.35
802,prince,250.35,250.85
803,,250.85,251.43
804,exact,251.43,252.04
805,,252.04,252.52
806,il,252.52,252.68
807,faut,252.68,252.81
808,exiger,252.81,253.26
809,de,253.26,253.36
810,chacun,253.36,253.87
811,ce,253.87,254.03
812,que,254.03,254.14
813,chacun,254.14,254.49
814,peut,254.49,254.67
815,donner,254.67,255.08
816,,255.08,255.4
817,reprit,255.4,255.82
818,le,255.82,255.94
819,roi,255.94,256.23
820,,256.23,257.2
821,l',257.2,257.25
822,autorité,257.25,257.84
823,repose,257.84,258.32
824,d',258.32,258.39
825,abord,258.39,258.85
826,sur,258.85,259.05
827,la,259.05,259.16
828,raison,259.16,259.61
829,,259.61,260.07
830,si,260.07,260.29
831,tu,260.29,260.43
832,ordonnes,260.43,260.78
833,à,260.78,260.84
834,ton,260.84,261.01
835,,261.01,261.07
836,peuple,261.07,261.42
837,d',261.42,261.48
838,aller,261.48,261.65
839,se,261.65,261.82
840,jeter,261.82,262.23
841,à,262.23,262.29
842,la,262.29,262.41
843,mer,262.41,262.82
844,,262.82,262.89
845,il,262.89,263.02
846,fera,263.02,263.32
847,la,263.32,263.43
848,révolution,263.43,264.19
849,,264.19,264.88
850,j',264.88,265.01
851,ai,265.01,265.07
852,le,265.07,265.2
853,droit,265.2,265.56
854,d',265.56,265.62
855,exiger,265.62,266.06
856,l',266.06,266.11
857,obéissance,266.11,266.97
858,parce,266.97,267.16
859,que,267.16,267.28
860,mes,267.28,267.52
861,ordres,267.52,267.77
862,sont,267.77,267.94
863,raisonnables,267.94,268.67
864,,268.67,269.66
865,alors,269.66,269.99
866,mon,269.99,270.13
867,coucher,270.13,270.4
868,de,270.4,270.51
869,soleil,270.51,271.02
870,,271.02,271.47
871,rappela,271.47,271.95
872,le,271.95,272.07
873,petit,272.07,272.34
874,prince,272.34,272.83
875,qui,272.83,273.06
876,jamais,273.06,273.62
877,n',273.62,273.7
878,oubliait,273.7,274.12
879,une,274.12,274.27
880,question,274.27,274.77
881,,274.77,274.91
882,une,274.91,275.07
883,fois,275.07,275.28
884,qu',275.28,275.4
