,text,onset,offset
0,,0.0,3.06
1,le,3.06,3.08
2,,3.08,3.27
3,cinquième,3.27,3.65
4,,3.65,3.71
5,jour,3.71,4.0
6,,4.0,4.4
7,toujours,4.4,4.76
8,,4.76,4.82
9,grace,4.82,5.03
10,,5.03,5.09
11,au,5.09,5.14
12,,5.14,5.21
13,mouton,5.21,5.52
14,,5.52,5.96
15,ce,5.96,6.08
16,,6.08,6.14
17,secret,6.14,6.51
18,,6.51,6.57
19,de,6.57,6.64
20,,6.64,6.7
21,la,6.7,6.8
22,,6.8,6.86
23,vie,6.86,7.0
24,,7.0,7.06
25,du,7.06,7.12
26,,7.12,7.18
27,petit,7.18,7.41
28,,7.41,7.48
29,prince,7.48,7.91
30,,7.91,7.97
31,me,7.97,8.06
32,fut,8.06,8.29
33,révélé,8.29,8.87
34,,8.87,9.65
35,il,9.65,9.89
36,me,9.89,10.06
37,,10.06,10.13
38,demanda,10.13,10.68
39,avec,10.68,10.92
40,brusquerie,10.92,11.62
41,,11.62,11.81
42,sans,11.81,12.09
43,préambule,12.09,12.78
44,,12.78,12.98
45,comme,12.98,13.2
46,le,13.2,13.4
47,fruit,13.4,13.7
48,d',13.7,13.76
49,un,13.76,13.88
50,problème,13.88,14.38
51,longtemps,14.38,14.95
52,médité,14.95,15.49
53,en,15.49,15.6
54,silence,15.6,16.35
55,,16.35,17.17
56,un,17.17,17.28
57,mouton,17.28,17.67
58,,17.67,17.9
59,s',17.9,18.03
60,il,18.03,18.15
61,mange,18.15,18.41
62,les,18.41,18.54
63,arbustes,18.54,19.1
64,,19.1,19.44
65,il,19.44,19.61
66,mange,19.61,19.8
67,aussi,19.8,20.01
68,les,20.01,20.12
69,fleurs,20.12,20.52
70,,20.52,21.35
71,un,21.35,21.52
72,mouton,21.52,21.91
73,mange,21.91,22.19
74,tout,22.19,22.37
75,ce,22.37,22.53
76,qu',22.53,22.61
77,il,22.61,22.69
78,rencontre,22.69,23.28
79,,23.28,24.33
80,même,24.33,24.53
81,les,24.53,24.63
82,fleurs,24.63,24.95
83,qui,24.95,25.07
84,ont,25.07,25.15
85,des,25.15,25.46
86,épines,25.46,25.78
87,,25.78,26.71
88,oui,26.71,27.06
89,,27.06,27.35
90,même,27.35,27.52
91,les,27.52,27.66
92,,27.66,27.71
93,fleurs,27.71,27.95
94,qui,27.95,28.07
95,ont,28.07,28.16
96,des,28.16,28.45
97,épines,28.45,28.76
98,,28.76,29.86
99,alors,29.86,30.14
100,les,30.14,30.48
101,épines,30.48,30.84
102,,30.84,31.07
103,à,31.07,31.17
104,quoi,31.17,31.33
105,servent,31.33,31.76
106,-elles,31.76,32.09
107,,32.09,33.28
108,je,33.28,33.41
109,,33.41,33.45
110,ne,33.45,33.47
111,le,33.47,33.5
112,,33.5,33.61
113,savais,33.61,34.02
114,pas,34.02,34.21
115,,34.21,34.86
116,j',34.86,34.97
117,étais,34.97,35.3
118,alors,35.3,35.68
119,très,35.68,36.08
120,occupé,36.08,36.62
121,,36.62,36.69
122,à,36.69,36.85
123,essayer,36.85,37.25
124,de,37.25,37.4
125,dévisser,37.4,37.93
126,un,37.93,38.01
127,boulon,38.01,38.4
128,trop,38.4,38.66
129,serré,38.66,39.06
130,de,39.06,39.17
131,mon,39.17,39.31
132,moteur,39.31,39.89
133,,39.89,40.66
134,j',40.66,40.77
135,étais,40.77,41.05
136,très,41.05,41.37
137,soucieux,41.37,41.92
138,,41.92,42.27
139,car,42.27,42.44
140,ma,42.44,42.64
141,panne,42.64,42.98
142,commençait,42.98,43.46
143,de,43.46,43.58
144,m',43.58,43.65
145,apparaître,43.65,44.21
146,comme,44.21,44.47
147,très,44.47,44.76
148,grave,44.76,45.32
149,,45.32,45.63
150,et,45.63,45.72
151,l',45.72,45.77
152,eau,45.77,45.92
153,à,45.92,46.02
154,boire,46.02,46.4
155,qui,46.4,46.58
156,s',46.58,46.73
157,épuisait,46.73,47.3
158,,47.3,47.5
159,me,47.5,47.69
160,faisait,47.69,47.99
161,craindre,47.99,48.45
162,le,48.45,48.54
163,pire,48.54,49.1
164,,49.1,49.88
165,les,49.88,50.32
166,épines,50.32,50.77
167,,50.77,50.84
168,à,50.84,50.97
169,quoi,50.97,51.12
170,servent,51.12,51.61
171,-elles,51.61,51.94
172,,51.94,52.75
173,le,52.75,52.89
174,petit,52.89,53.18
175,prince,53.18,53.58
176,ne,53.58,53.72
177,renonçait,53.72,54.25
178,jamais,54.25,54.9
179,à,54.9,54.97
180,une,54.97,55.13
181,question,55.13,55.6
182,,55.6,55.78
183,une,55.78,55.94
184,fois,55.94,56.14
185,qu',56.14,56.26
186,il,56.26,56.45
187,l',56.45,56.47
188,avait,56.47,56.69
189,posée,56.69,57.14
190,,57.14,57.88
191,j',57.88,57.97
