,text,onset,offset
0,,0.0,3.4
1,il,3.4,3.46
2,,3.46,3.52
3,y,3.52,3.67
4,,3.67,3.73
5,avait,3.73,4.04
6,,4.04,4.37
7,à,4.37,4.41
8,,4.41,4.49
9,côté,4.49,4.95
10,du,4.95,5.05
11,puits,5.05,5.31
12,,5.31,5.62
13,une,5.62,5.82
14,ruine,5.82,6.33
15,de,6.33,6.52
16,vieux,6.52,6.81
17,mur,6.81,7.11
18,de,7.11,7.28
19,pierre,7.28,7.83
20,,7.83,8.45
21,lorsque,8.45,8.9
22,je,8.9,9.06
23,revins,9.06,9.42
24,de,9.42,9.53
25,mon,9.53,9.67
26,travail,9.67,10.32
27,,10.32,10.57
28,le,10.57,10.73
29,lendemain,10.73,11.25
30,soir,11.25,11.82
31,,11.82,12.3
32,j',12.3,12.47
33,aperçus,12.47,13.01
34,de,13.01,13.13
35,loin,13.13,13.42
36,mon,13.42,13.59
37,petit,13.59,13.9
38,prince,13.9,14.4
39,assis,14.4,14.91
40,là,14.91,15.08
41,-haut,15.08,15.24
42,,15.24,15.49
43,les,15.49,15.69
44,jambes,15.69,16.1
45,pendantes,16.1,16.77
46,,16.77,17.53
47,et,17.53,17.6
48,je,17.6,17.71
49,l',17.71,17.78
50,entendis,17.78,18.29
51,qui,18.29,18.44
52,parlait,18.44,18.87
53,,18.87,20.04
54,tu,20.04,20.29
55,ne,20.29,20.32
56,t',20.32,20.36
57,en,20.36,20.43
58,souviens,20.43,20.74
59,donc,20.74,20.98
60,pas,20.98,21.23
61,,21.23,21.58
62,disait,21.58,22.03
63,-il,22.03,22.37
64,,22.37,22.86
65,ce,22.86,23.04
66,n',23.04,23.1
67,est,23.1,23.21
68,pas,23.21,23.34
69,tout,23.34,23.54
70,à,23.54,23.6
71,fait,23.6,23.84
72,ici,23.84,24.22
73,,24.22,25.19
74,une,25.19,25.42
75,autre,25.42,25.71
76,voix,25.71,25.91
77,lui,25.91,26.07
78,répondit,26.07,26.6
79,sans,26.6,26.78
80,doute,26.78,27.14
81,,27.14,27.29
82,puisqu',27.29,27.57
83,il,27.57,27.64
84,répliqua,27.64,28.14
85,,28.14,28.71
86,si,28.71,29.0
87,,29.0,29.1
88,si,29.1,29.36
89,,29.36,29.56
90,c',29.56,29.68
91,est,29.68,29.81
92,bien,29.81,29.96
93,le,29.96,30.08
94,jour,30.08,30.47
95,,30.47,30.53
96,mais,30.53,30.67
97,ce,30.67,30.82
98,n',30.82,30.89
99,est,30.89,30.98
100,pas,30.98,31.17
101,ici,31.17,31.49
102,l',31.49,31.53
103,endroit,31.53,31.85
104,,31.85,33.18
105,je,33.18,33.44
