,text,onset,offset
0,,0.0,3.11
1,j',3.11,3.14
2,,3.14,3.22
3,avais,3.22,3.43
4,,3.43,3.52
5,ainsi,3.52,3.91
6,,3.91,4.02
7,appris,4.02,4.44
8,,4.44,4.48
9,une,4.48,4.75
10,seconde,4.75,5.39
11,chose,5.39,5.83
12,très,5.83,6.32
13,importante,6.32,7.05
14,,7.05,7.55
15,c',7.55,7.66
16,est,7.66,7.73
17,que,7.73,7.83
18,sa,7.83,8.1
19,planète,8.1,8.55
20,d',8.55,8.6
21,origine,8.6,9.08
22,,9.08,9.2
23,était,9.2,9.59
24,à,9.59,9.74
25,,9.74,9.86
26,peine,9.86,10.17
27,plus,10.17,10.34
28,grande,10.34,10.81
29,,10.81,10.85
30,qu',10.85,10.93
31,une,10.93,11.12
32,maison,11.12,11.56
33,,11.56,12.27
34,ça,12.27,12.46
35,ne,12.46,12.58
36,pouvait,12.58,12.88
37,pas,12.88,13.03
38,m',13.03,13.08
39,étonner,13.08,13.42
40,beaucoup,13.42,13.86
41,,13.86,14.5
42,je,14.5,14.63
43,savais,14.63,14.98
44,bien,14.98,15.28
45,qu',15.28,15.35
46,en,15.35,15.43
47,dehors,15.43,15.71
48,des,15.71,15.82
49,grosses,15.82,16.13
50,planètes,16.13,16.58
51,comme,16.58,16.79
52,la,16.79,16.92
53,terre,16.92,17.42
54,,17.42,17.51
55,jupiter,17.51,18.33
56,,18.33,18.4
57,mars,18.4,18.98
58,,18.98,19.1
59,vénus,19.1,19.7
60,,19.7,19.96
61,auxquelles,19.96,20.29
62,on,20.29,20.43
63,a,20.43,20.52
64,donné,20.52,20.78
65,des,20.78,20.92
66,noms,20.92,21.19
67,,21.19,21.63
68,il,21.63,21.76
69,y,21.76,21.9
70,en,21.9,22.02
71,a,22.02,22.13
72,des,22.13,22.25
73,centaines,22.25,22.82
74,d',22.82,22.89
75,autres,22.89,23.18
76,qui,23.18,23.35
77,sont,23.35,23.53
78,quelquefois,23.53,24.11
79,si,24.11,24.36
80,,24.36,24.49
81,petites,24.49,25.03
82,,25.03,25.37
83,qu',25.37,25.45
84,on,25.45,25.58
85,a,25.58,25.68
86,beaucoup,25.68,26.15
87,de,26.15,26.27
88,mal,26.27,26.62
89,à,26.62,26.75
90,les,26.75,26.97
91,apercevoir,26.97,27.64
92,au,27.64,27.71
93,télescope,27.71,28.41
94,,28.41,29.45
95,quand,29.45,29.76
96,,29.76,29.83
