,text,onset,offset
250,des,80.65,80.77
251,déserts,80.77,81.37
252,,81.37,82.09
253,Je,82.09,82.24
254,,82.24,82.28
255,ne,82.28,82.32
256,,82.32,82.4
257,puis,82.4,82.57
258,pas,82.57,82.75
259,le,82.75,82.79
260,savoir,82.79,83.24
261,non,83.24,83.4
262,plus,83.4,83.75
263,,83.75,84.23
264,dit,84.23,84.44
265,le,84.44,84.47
266,géographe,84.47,85.19
267,,85.19,85.92
268,Mais,85.92,86.12
269,vous,86.12,86.18
270,êtes,86.18,86.44
271,géographe,86.44,87.14
272,,87.14,88.01
273,C',88.01,88.15
274,est,88.15,88.37
275,exact,88.37,88.9
276,,88.9,89.23
277,dit,89.23,89.5
278,le,89.5,89.55
279,géographe,89.55,90.29
280,,90.29,90.65
281,mais,90.65,91.01
282,je,91.01,91.17
283,ne,91.17,91.25
284,suis,91.25,91.49
285,pas,91.49,91.7
286,explorateur,91.7,92.52
287,,92.52,92.94
288,Je,92.94,93.2
289,manque,93.2,93.56
290,absolument,93.56,94.29
291,d',94.29,94.35
292,explorateurs,94.35,95.19
293,,95.19,95.82
294,Ce,95.82,96.02
295,n',96.02,96.06
296,est,96.06,96.2
297,pas,96.2,96.34
298,le,96.34,96.45
299,géographe,96.45,97.0
300,qui,97.0,97.15
301,va,97.15,97.29
302,faire,97.29,97.47
303,le,97.47,97.57
304,compte,97.57,97.91
305,des,97.91,98.07
306,villes,98.07,98.47
307,,98.47,98.76
308,des,98.76,98.86
309,fleuves,98.86,99.41
310,,99.41,99.68
311,des,99.68,99.77
312,montagnes,99.77,100.46
313,,100.46,100.57
314,des,100.57,100.79
315,mers,100.79,101.24
316,,101.24,101.48
317,des,101.48,101.73
318,océans,101.73,102.26
319,,102.26,102.37
320,et,102.37,102.46
321,des,102.46,102.56
322,déserts,102.56,103.18
323,,103.18,103.85
324,Le,103.85,104.03
325,géographe,104.03,104.6
326,est,104.6,104.75
327,trop,104.75,105.05
328,,105.05,105.09
329,important,105.09,105.54
330,pour,105.54,105.66
331,flâner,105.66,106.15
332,,106.15,106.52
333,Il,106.52,106.73
334,ne,106.73,106.83
335,quitte,106.83,107.02
336,pas,107.02,107.2
337,son,107.2,107.41
338,bureau,107.41,107.8
339,,107.8,108.41
340,Mais,108.41,108.52
341,il,108.52,108.71
342,y,108.71,108.81
343,reçoit,108.81,109.19
344,les,109.19,109.36
345,explorateurs,109.36,110.19
346,,110.19,110.86
347,Il,110.86,111.09
348,les,111.09,111.23
349,interroge,111.23,112.02
350,,112.02,112.14
351,et,112.14,112.19
352,il,112.19,112.36
353,prend,112.36,112.83
354,en,112.83,112.85
355,note,112.85,113.11
356,leurs,113.11,113.28
357,souvenirs,113.28,114.0
358,,114.0,114.69
359,Et,114.69,114.79
360,si,114.79,114.85
361,,114.85,114.94
362,les,114.94,115.18
363,,115.18,115.25
364,souvenirs,115.25,115.77
365,de,115.77,115.91
366,l',115.91,116.03
367,un,116.03,116.16
368,d',116.16,116.21
369,entre,116.21,116.49
370,eux,116.49,116.54
371,lui,116.54,116.72
372,paraissent,116.72,117.17
373,intéressants,117.17,117.9
374,,117.9,118.21
375,le,118.21,118.34
376,géographe,118.34,119.13
377,fait,119.13,119.23
378,faire,119.23,119.54
379,,119.54,119.64
380,une,119.64,119.81
381,enquête,119.81,120.33
382,sur,120.33,120.55
383,la,120.55,120.67
384,moralité,120.67,121.43
385,de,121.43,121.55
386,l',121.55,121.61
387,explorateur,121.61,122.51
388,,122.51,123.6
389,Pourquoi,123.6,124.04
390,,124.04,124.1
391,ça,124.1,124.29937274888628
392,,124.29937274888628,124.47150382891431
393,,124.47150382891431,125.33381237279976
394,Parce,125.33381237279976,125.55758277683618
395,qu',125.55758277683618,125.6522548708516
396,un,125.6522548708516,125.78995973487402
397,explorateur,125.78995973487402,126.56
398,qui,126.56,126.72
399,mentirait,126.72,127.32
400,,127.32,127.64
401,entraînerait,127.64,128.36
402,des,128.36,128.54
403,,128.54,128.58
404,catastrophes,128.58,129.36
405,dans,129.36,129.48
406,les,129.48,129.62
407,livres,129.62,129.97
408,de,129.97,130.1
409,géographie,130.1,130.85
410,,130.85,131.4
411,Et,131.4,131.5
412,aussi,131.5,131.93
413,un,131.93,132.05
414,explorateur,132.05,132.77
415,,132.77,132.83
416,qui,132.83,132.94
417,boirait,132.94,133.24
418,trop,133.24,133.49
419,,133.49,134.36
420,Pourquoi,134.36,134.88
421,,134.88,134.98
422,ça,134.98,135.16
423,,135.16,135.97
424,fit,135.97,136.16
425,,136.16,136.22
426,le,136.22,136.26
427,petit,136.26,136.52
428,prince,136.52,137.08
429,,137.08,137.69
430,Parce,137.69,137.91
431,que,137.91,138.05
432,les,138.05,138.17
433,ivrognes,138.17,138.72
434,voient,138.72,138.92
435,double,138.92,139.4
436,,139.4,139.71
437,Alors,139.71,140.18
438,le,140.18,140.28
439,géographe,140.28,140.9
440,noterait,140.9,141.37
441,,141.37,141.45
442,deux,141.45,141.61
443,montagnes,141.61,142.29
444,,142.29,142.56
445,là,142.56,142.97
446,où,142.97,143.1
447,il,143.1,143.25
448,n',143.25,143.29
449,y,143.29,143.38
450,en,143.38,143.53
451,a,143.53,143.66
452,qu',143.66,143.79
453,une,143.79,144.0
454,seule,144.0,144.45
455,,144.45,145.79
456,Je,145.79,146.0
457,connais,146.0,146.27
458,quelqu',146.27,146.57
459,un,146.57,146.75
460,,146.75,147.01
461,dit,147.01,147.27
462,le,147.27,147.32
463,petit,147.32,147.61
464,prince,147.61,148.19
465,,148.19,148.57
466,qui,148.57,148.75
467,serait,148.75,149.02
468,mauvais,149.02,149.43
