,text,onset,offset
0,,0.0,3.05
1,lorsque,3.05,3.42
2,j',3.42,3.44
3,,3.44,3.53
4,avais,3.53,3.76
5,,3.76,3.93
6,six,3.93,4.18
7,ans,4.18,4.36
8,,4.36,4.4
9,j',4.4,4.54
10,ai,4.54,4.774013185990926
11,,4.774013185990926,4.859433340089316
12,vu,4.859433340089316,5.149861864023844
13,une,5.149861864023844,5.5
14,fois,5.5,5.83
15,,5.83,6.14
16,une,6.14,6.6
17,magnifique,6.6,7.21
18,image,7.21,7.71
19,,7.71,7.86
20,dans,7.86,8.18
21,un,8.18,8.38
22,livre,8.38,8.65
23,sur,8.65,8.85
24,la,8.85,8.95
25,forêt,8.95,9.33
26,vierge,9.33,9.81
27,qui,9.81,9.99
28,s',9.99,10.12
29,appelait,10.12,10.56
30,,10.56,10.81
31,histoires,10.81,11.35
32,vécues,11.35,11.79
33,,11.79,12.64
34,ça,12.64,12.95
35,représentait,12.95,13.54
36,un,13.54,13.67
37,serpent,13.67,14.16
38,boa,14.16,14.54
39,,14.54,14.77
40,qui,14.77,14.95
41,avalait,14.95,15.41
42,un,15.41,15.55
43,fauve,15.55,16.13
44,,16.13,16.72
45,voilà,16.72,17.13
46,la,17.13,17.26
47,copie,17.26,17.65
48,du,17.65,17.8
49,dessin,17.8,18.2
50,,18.2,19.47
51,on,19.47,19.53
52,disait,19.53,19.94
53,dans,19.94,20.11
54,le,20.11,20.26
55,livre,20.26,20.77
56,,20.77,20.98
57,les,20.98,21.17
58,serpents,21.17,21.65
59,boas,21.65,22.08
60,,22.08,22.14
61,avalent,22.14,22.69
62,leur,22.69,22.88
63,proie,22.88,23.24
64,,23.24,23.4
65,tout,23.4,23.65
66,entière,23.65,24.31
67,sans,24.31,24.66
68,la,24.66,24.79
69,mâcher,24.79,25.28
70,,25.28,25.81
71,ensuite,25.81,26.33
72,ils,26.33,26.43
73,ne,26.43,26.57
74,peuvent,26.57,26.8
75,plus,26.8,27.06
76,bouger,27.06,27.52423953625534
77,,27.52423953625534,27.704903162173437
78,et,27.704903162173437,27.876058176201106
79,ils,27.876058176201106,28.02
80,dorment,28.02,28.44
81,pendant,28.44,28.77
82,les,28.77,28.91
83,six,28.91,29.23
84,mois,29.23,29.51
85,de,29.51,29.61
86,leur,29.61,29.78
87,digestion,29.78,30.38
88,,30.38,30.68
89,,30.68,31.206265700567414
90,,31.206265700567414,32.19516133717173
91,j',32.19516133717173,32.34096005282493
92,ai,32.34096005282493,32.442385246322814
93,alors,32.442385246322814,32.8
94,beaucoup,32.8,33.41
95,réfléchi,33.41,34.08
96,sur,34.08,34.25
97,les,34.25,34.47
98,aventures,34.47,34.97
99,de,34.97,35.09
100,la,35.09,35.23
101,jungle,35.23,35.71
102,,35.71,36.23
103,et,36.23,36.4
104,,36.4,36.6
105,à,36.6,36.73
106,mon,36.73,36.93
107,tour,36.93,37.27
108,,37.27,37.48
109,j',37.48,37.62
110,ai,37.62,37.74
111,réussi,37.74,38.31
112,,38.31,38.52
113,avec,38.52,38.84
114,un,38.84,38.94
115,crayon,38.94,39.31
116,de,39.31,39.44
117,couleur,39.44,40.03
118,,40.03,40.47
119,à,40.47,40.6
120,tracer,40.6,41.13
121,mon,41.13,41.32
122,,41.32,41.36
123,premier,41.36,41.85
124,dessin,41.85,42.2
125,,42.2,42.79
126,mon,42.79,43.01
127,dessin,43.01,43.43
128,numéro,43.43,43.92
129,,43.92,44.02
130,1,44.02,44.19
131,,44.19,44.92
132,il,44.92,45.08
133,était,45.08,45.4
134,comme,45.4,45.69
135,ça,45.69,45.95
136,,45.95,47.49
137,j',47.49,47.58
138,ai,47.58,47.73
139,montré,47.73,48.1
140,mon,48.1,48.21
141,chef,48.21,48.51
142,-d',48.51,48.59
143,oeuvre,48.59,48.91
144,aux,48.91,49.03
145,grandes,49.03,49.33
146,,49.33,49.37
147,personnes,49.37,50.0
148,,50.0,50.33
149,et,50.33,50.35
150,je,50.35,50.5
151,leur,50.5,50.76
